acl	2.3.1-3
adduser	3.134
adwaita-icon-theme	43-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.8-1
alsa-utils	1.2.8-1
amd64-microcode	3.20240820.1~deb12u1
anacron	2.3-36
anthy	1:0.4-2
anthy-common	1:0.4-2
apparmor	3.0.8-3
apt	2.6.1
apt-utils	2.6.1
aspell	0.60.8-4+b1
aspell-am	0.03-1-5.2
aspell-ar	0.0.20060329-6
aspell-ar-large	1.2-0-5
aspell-bg	4.1-7
aspell-ca	0.20111230b-14
aspell-cs	0.51.0-1.3
aspell-cy	0.50-3-8
aspell-da	1.6.36-14
aspell-de	20161207-11
aspell-el	0.50-3-7
aspell-en	2020.12.07-0-1
aspell-eo	2.1.2000.02.25-61
aspell-es	1.11-20
aspell-et	1:20030606-32
aspell-eu	3.0.20070215-2
aspell-fa	0.11-0-4
aspell-fr	0.50-3-8.1
aspell-ga	0.50-4-6
aspell-gl-minimos	0.5-48
aspell-he	1.0-0-8.1
aspell-hr	0.51-6.1
aspell-hu	0.99.4.2-0-4.1
aspell-is	0.51.1-0-2
aspell-it	2.4-20070901-0-3.1
aspell-kk	0.2-3
aspell-ku	0.20-0-8
aspell-lt	1.3.2-3
aspell-lv	0.9.6-12
aspell-nl	1:2.20.19-2
aspell-no	2.2-4
aspell-pl	20150428-3.1
aspell-pt-br	20131030-18
aspell-pt-pt	20220621-1
aspell-ro	3.3.9-1.2
aspell-ru	0.99g5-29
aspell-sk	2.04+ds.3
aspell-sl	0.60-4.1
aspell-sv	0.51-0-3.2
aspell-tl	0.4-0-22
aspell-uk	1.8.0+dfsg-1
at-spi2-common	2.46.0-5
at-spi2-core	2.46.0-5
atmel-firmware	1.3-7
avahi-autoipd	0.8-10+deb12u1
avahi-daemon	0.8-10+deb12u1
avahi-utils	0.8-10+deb12u1
base-files	12.4+deb12u10
base-passwd	3.6.1
bash	5.2.15-2+b7
bc	1.07.1-3+b1
bind9-dnsutils	1:9.18.33-1~deb12u2
bind9-host	1:9.18.33-1~deb12u2
bind9-libs	1:9.18.33-1~deb12u2
binutils	2.40-2
binutils-common	2.40-2
binutils-x86-64-linux-gnu	2.40-2
bluez	5.66-1+deb12u2
bluez-firmware	1.2-9
bsd-mailx	8.1.2-0.20220412cvs-1
bsdextrautils	2.38.1-5+deb12u3
bsdutils	1:2.38.1-5+deb12u3
btrfs-progs	6.2-1+deb12u1
bubblewrap	0.8.0-2+deb12u1
build-essential	12.9
busybox	1:1.35.0-4+b3
bzip2	1.0.8-5+b1
ca-certificates	20230311
caca-utils	0.99.beta20-3
catdoc	1:0.95-5
chafa	1.12.4-1+b1
cmatrix	2.0-3
coinor-libcbc3	2.10.8+ds1-1
coinor-libcgl1	0.60.3+repack1-4
coinor-libclp1	1.17.6-3
coinor-libcoinmp1v5	1.8.3-3
coinor-libcoinutils3v5	2.11.4+repack1-2
